index,type,start_ms,duration_ms,units
173,MARK,111.493000,0.387875,1
174,SPACE,111.880875,0.412125,1
175,MARK,112.293000,0.388875,1
176,SPACE,112.681875,1.342750,3
177,MARK,114.024625,1.933750,5
178,SPACE,115.958375,0.414125,1
179,MARK,116.372500,0.517063,1
180,SPACE,116.889562,0.412812,1
181,MARK,117.302375,0.386687,1
182,SPACE,117.689062,0.826750,2
183,MARK,118.515812,0.775375,2
184,SPACE,119.291188,0.411562,1
185,MARK,119.702750,0.905000,2
186,SPACE,120.607750,0.413312,1
187,MARK,121.021062,0.386813,1
188,SPACE,121.407875,0.413438,1
189,MARK,121.821313,0.387812,1
190,SPACE,122.209125,0.928125,2
191,MARK,123.137250,1.292938,3
192,SPACE,124.430188,0.413000,1
193,MARK,124.843187,0.516437,1
194,SPACE,125.359625,0.414812,1
195,MARK,125.774438,0.386938,1
196,SPACE,126.161375,0.412062,1
197,MARK,126.573437,0.388750,1
198,SPACE,126.962187,1.342875,3
199,MARK,128.305063,1.934687,5
200,SPACE,130.239750,0.413187,1
201,MARK,130.652938,0.388188,1
202,SPACE,131.041125,0.412438,1
203,MARK,131.453563,0.515938,1
204,SPACE,131.969500,0.827875,2
205,MARK,132.797375,0.774250,2
206,SPACE,133.571625,0.411562,1
207,MARK,133.983187,0.776000,2
208,SPACE,134.759187,0.413062,1
209,MARK,135.172250,0.516062,1
210,SPACE,135.688312,0.414437,1
211,MARK,136.102750,0.386813,1
212,SPACE,136.489563,0.928312,2
213,MARK,137.417875,1.293750,3
214,SPACE,138.711625,0.412000,1
215,MARK,139.123625,0.387375,1
216,SPACE,139.511000,0.414875,1
217,MARK,139.925875,0.515938,1
218,SPACE,140.441813,0.414187,1
219,MARK,140.856000,0.386687,1
220,SPACE,141.242687,1.342812,3
221,MARK,142.585500,1.934563,5
222,SPACE,144.520062,0.413312,1
223,MARK,144.933375,0.388937,1
224,SPACE,145.322312,0.411687,1
225,MARK,145.734000,0.387437,1
226,SPACE,146.121438,0.827250,2
227,MARK,146.948688,0.903375,2
228,SPACE,147.852062,0.411687,1
229,MARK,148.263750,0.776875,2
230,SPACE,149.040625,0.412062,1
231,MARK,149.452687,0.386938,1
232,SPACE,149.839625,0.414563,1
233,MARK,150.254188,0.515938,1
234,SPACE,150.770125,0.930437,2
235,MARK,151.700562,1.291438,3
236,SPACE,152.992000,0.412062,1
237,MARK,153.404062,0.388313,1
238,SPACE,153.792375,0.413813,1
239,MARK,154.206187,0.387062,1
240,SPACE,154.593250,0.412938,1
241,MARK,155.006188,0.517063,1
242,SPACE,155.523250,1.342625,3
243,MARK,156.865875,1.934625,5
244,SPACE,158.800500,0.413312,1
245,MARK,159.213812,0.388937,1
246,SPACE,159.602750,0.411687,1
247,MARK,160.014437,0.387937,1
248,SPACE,160.402375,0.826625,2
249,MARK,161.229000,0.903500,2
250,SPACE,162.132500,0.414000,1
251,MARK,162.546500,0.774438,2
252,SPACE,163.320938,0.412250,1
253,MARK,163.733187,0.387875,1
254,SPACE,164.121062,0.413625,1
255,MARK,164.534687,0.387000,1
256,SPACE,164.921687,0.928937,2
257,MARK,165.850625,1.421812,3
258,SPACE,167.272438,0.412062,1
259,MARK,167.684500,0.388313,1
260,SPACE,168.072812,0.413813,1
261,MARK,168.486625,0.388063,1
262,SPACE,168.874688,0.411937,1
263,MARK,169.286625,0.388313,1
264,SPACE,169.674937,1.343375,3
265,MARK,171.018312,2.062625,5
266,SPACE,173.080938,0.415500,1
267,MARK,173.496437,0.386750,1
268,SPACE,173.883188,0.411750,1
269,MARK,174.294938,0.387750,1
270,SPACE,174.682687,0.826812,2
271,MARK,175.509500,0.774562,2
272,SPACE,176.284063,0.412500,1
273,MARK,176.696562,0.904813,2
274,SPACE,177.601375,0.412125,1
275,MARK,178.013500,0.388000,1
276,SPACE,178.401500,0.413625,1
277,MARK,178.815125,0.387625,1
278,SPACE,179.202750,0.928187,2
279,MARK,180.130938,1.421938,3
280,SPACE,181.552875,0.413500,1
281,MARK,181.966375,0.386875,1
282,SPACE,182.353250,0.413813,1
